file,sha256,center_hz,sample_rate,gain_db,iq_pairs,tx_key,te,repeat,analysis_window_pairs,analysis_threshold,analysis_crop_start_window,analysis_crop_end_window,class_count,class_digest,inferred_base,notes
te240-keyabcd10-rep10-433920000.iq,f30c6159525aa3822128804ec4ceaa21a693848b5a684facdfcf86af8c863336,433920000,250000,28.0,1250000,ABCD10,240,10,20,131072,,,499,06017c95923ccb6afe1fa249c8d798b8,3,canonical full-file ABCD10 family
te250-keyc0ffee-rep10-433920000.iq,e153e45e5d681beb39232eb1ce2ea02f2c77e71af8daa3cc2993fd35c3a07916,433920000,250000,28.0,1250000,C0FFEE,250,10,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,3,canonical full-file C0FFEE family
te250-keydead12-rep10-433920000.iq,61cf4fc4e5a367f088a40876060ca3840134dee291a89df3c88cc6514553aee0,433920000,250000,28.0,1250000,DEAD12,250,10,20,131072,,,499,a57783a97009fc13b6e255e487f6e7aa,3,canonical full-file DEAD12 family
te260-key7ea5b0-rep10-433920000.iq,afdbca83166840aef3cc3525a885badcaa46b5089d52f59453b3501398b09a30,433920000,250000,28.0,1250000,7EA5B0,260,10,20,131072,,,499,c7ae6bd72816cb7860be44be68a3e42b,3,canonical full-file 7EA5B0 family
te275-key1ceb00-rep10-433920000.iq,349afb97d15244bf0e6cfdad64beec0bbeb9df799b7b3d6dd82e5ecf95f34266,433920000,250000,28.0,1250000,1CEB00,275,10,20,131072,,,499,6b8e88830c92d7161379dbab96d29486,4,canonical full-file 1CEB00 family
te280-keyface01-rep10-433920000.iq,965106659e429464b7e653ce14843926df6e50b2ba1f590c25f118e9c73e3032,433920000,250000,28.0,1250000,FACE01,280,10,20,131072,,,499,065e905b4444fd83c706b64c68675320,4,canonical full-file FACE01 family
te290-keyd15ea5-rep10-433920000.iq,417c908ac5400d839bc19d0ae8d27c09bfc7ccfd87365e4c01b5f9ff6dd7a107,433920000,250000,28.0,1250000,D15EA5,290,10,20,131072,,,499,0ce096fea1adcd848b8e0f359833feca,4,canonical full-file D15EA5 family
te310-keyb16b00-rep10-433920000.iq,7aeba28f06131df84a91602119180e03998583b701a2438db0882a1245f0a72a,433920000,250000,28.0,1250000,B16B00,310,10,20,131072,,,499,782fbf6929fb12a9430159f2e512ec13,4,canonical full-file B16B00 family
te340-keycafe42-rep10-433920000.iq,a0fd467e245a3b5ea26c0c39800155c1a71a015fe2c343e6a23e7bd7728e4907,433920000,250000,28.0,1250000,CAFE42,340,10,20,131072,,,499,9892ff8172cf89f3c143fab27cfafd98,4,canonical full-file CAFE42 family
te400-key55aa33-rep10-433920000.iq,4c25b9137b19a5494c0db7d146a17d08c5ce6cd91e1cec9ce67c36dc9b6c177d,433920000,250000,28.0,1250000,55AA33,400,10,20,131072,,,499,b23944cd40c832edea40ca156b5455fe,5,canonical full-file 55AA33 family
te400-rep10-433920000.iq,e24fccdc49bc6924183a9fabe40eb27b0c6ccd44b150123be12396749c186b82,433920000,250000,28.0,1250000,A1B2C3,400,10,20,131072,,,499,19f722404f38089b6308894a201adbf2,6,canonical full-file A1B2C3 family
te430-keydead12-rep10-433920000.iq,8e71ec8f27856b99f86b9e264c96e5d9a0f928be0918351f4c71e9e6c9b68d9c,433920000,250000,28.0,1250000,DEAD12,430,10,20,131072,,,499,a57783a97009fc13b6e255e487f6e7aa,6,canonical full-file DEAD12 family
te480-keyabcd10-rep10-433920000.iq,4aed6bbd73cea56345c72dc39d5dc5f49e1161d2eb22d38fcc4a34dd664f05a0,433920000,250000,28.0,1250000,ABCD10,480,10,20,131072,,,499,06017c95923ccb6afe1fa249c8d798b8,6,canonical full-file ABCD10 family
te500-key000100-rep10-433920000.iq,57a0da2fc9ced956237657fd2a270a472e5ea6a9c9d6c3dd83706b3b1a506ef8,433920000,250000,28.0,1250000,000100,500,10,20,131072,,,499,35b0f28740a34e4e374d4e99cc50303a,7,replay baseline family
te500-key000100-rep10-run2-433920000.iq,c60025725d8e2d2eeb0587c7bf402bf5a12fa07cd4c1acd6722998a8d49c76a6,433920000,250000,28.0,1250000,000100,500,10,20,131072,,,499,35b0f28740a34e4e374d4e99cc50303a,7,repeated replay baseline capture
te500-key000101-rep10-433920000.iq,b57d62b7d58eb1ef1e6246bcb20fdd926417e7ee24d30aeb501b2b6ed51faf91,433920000,250000,28.0,1250000,000101,500,10,20,131072,,,499,60d799f94711ead89855090b0e62ddf8,7,adjacent freshness and separation probe
te500-key000102-rep10-433920000.iq,aac9302d51e76d3c245fda2e38899bba4ea43bab2c1e684d997be4e178fce81e,433920000,250000,28.0,1250000,000102,500,10,20,131072,,,499,86ee94ceaccb8a4ead0cb91b24dcc8f4,7,counter sequence probe
te500-key000103-rep10-433920000.iq,db159b610a81031ffb6ba3e0f3cfb966e59169108c010aae55c7d1b9dc678970,433920000,250000,28.0,1250000,000103,500,10,20,131072,,,499,0e842002045e42849270d9d7e8c7c031,7,counter sequence probe
te500-key0001fe-rep10-433920000.iq,1e1509b27630a795300c20b3d421e88ae68c22e6e398a2d36c2f39be459a060d,433920000,250000,28.0,1250000,0001FE,500,10,20,131072,,,499,353daff80a3a071c49549eefd9917b68,7,counter carry probe
te500-key0001ff-rep10-433920000.iq,a31249e352e3c7326a5b94ea65d105a02406da1658e3c6abec05c3b195396197,433920000,250000,28.0,1250000,0001FF,500,10,20,131072,,,499,0b2b64cb0f7473db4762b26d419b4839,7,counter carry probe
te500-key000200-rep10-433920000.iq,8a3fbc96faba2568cb9923b06319f9d8fbf2fe3ea2892d32b9da0596247db424,433920000,250000,28.0,1250000,000200,500,10,20,131072,,,499,159780e7210c770825e66869544ea553,7,counter carry probe
te500-key000201-rep10-433920000.iq,35f0b4c33b65161492ccdc95fbed2bac044dfd26c8df605d3f13ca38e0705fcf,433920000,250000,28.0,1250000,000201,500,10,20,131072,,,499,a01fa7f07eb20ef666ce6384616151f1,7,counter carry probe
te500-key7ea5b0-rep10-433920000.iq,56bac4fc80bae9d92b55258c42d023cf473afed64328ee56f7aa5f8f26583392,433920000,250000,28.0,1250000,7EA5B0,500,10,20,131072,,,499,c7ae6bd72816cb7860be44be68a3e42b,7,packet-schema probe
te500-key7ea5b1-rep10-433920000.iq,8d99585d077fcb68259765d2fba4a7d011ea8d60e4a65d26535f2acfbdbb416d,433920000,250000,28.0,1250000,7EA5B1,500,10,20,131072,,,499,afa5f7062fee304fe4c6a5ed109ee2cd,7,packet-schema probe
te500-key7ea5b2-rep10-433920000.iq,212028c202e9e8178f2eaacadfe43fed21dd3f80a65b84390638fdba8007cb0f,433920000,250000,28.0,1250000,7EA5B2,500,10,20,131072,,,499,ca8a36a3b9d4702800582d1b1120087f,7,packet-schema probe
te500-key7ea5b3-rep10-433920000.iq,1f8df70fbcaecf903cc951987851df3248012578ea859af57273e09a0d43c382,433920000,250000,28.0,1250000,7EA5B3,500,10,20,131072,,,499,9ae217a008e06be74c12568342ef97bf,7,packet-schema probe
te500-key7ea5be-rep10-433920000.iq,69b6e89515b13987a385b7e3dc621defe4d517e642389dd602c5f69f266edddb,433920000,250000,28.0,1250000,7EA5BE,500,10,20,131072,,,499,8f0c8fe9c565f2eb4a90762d487c5755,7,packet-schema probe
te500-key7ea5bf-rep10-433920000.iq,9536bc13ba4537d5744aa31062bf4b69231346b14846a5a3d39d7614fdf51bf3,433920000,250000,28.0,1250000,7EA5BF,500,10,20,131072,,,499,ba7be44096821cafbc0c8b3a4fe9d152,7,packet-schema probe
te500-key7ea5c0-rep10-433920000.iq,88b7f2560edbb7e446bc31edcc39b1c623258656eb5954ab4f5149d652046581,433920000,250000,28.0,1250000,7EA5C0,500,10,20,131072,,,499,45493d82cc6dd0698438d3a3a6cf05a8,7,packet-schema probe
te500-key7ea5c1-rep10-433920000.iq,b9a80fba7dd5580a40286f9be7e8e2736660c291bd737d18fe09ac54efb7a09f,433920000,250000,28.0,1250000,7EA5C1,500,10,20,131072,,,499,0e89449e1bc6599dbf314669321b5fc3,7,packet-schema probe
te500-keyabcd10-rep10-433920000.iq,b3a67d5ff739badf639efa08d780124a0e4b2335431378c335dbf7732109866b,433920000,250000,28.0,1250000,ABCD10,500,10,20,131072,,,499,06017c95923ccb6afe1fa249c8d798b8,7,packet-schema probe
te500-keyabcd11-rep10-433920000.iq,35f164151600b48cb97811a5988ff4e6d1d20e9ed0e54aa0e0d1be6c867cce1e,433920000,250000,28.0,1250000,ABCD11,500,10,20,131072,,,499,5089ba552d7baea6c12e08ebd2b065d8,7,packet-schema probe
te500-keyabcd12-rep10-433920000.iq,41b9704f14a61e7360b6adc0893d18b9d774d8cc70fb7d496d3649fc2772069e,433920000,250000,28.0,1250000,ABCD12,500,10,20,131072,,,499,82b4e0eaf291cf6df2725920305a8547,7,packet-schema probe
te500-keyabcd13-rep10-433920000.iq,fd274b145e832061d816b4709ca13a2ff1a24c5bd5581e1d8d81bb319deda96e,433920000,250000,28.0,1250000,ABCD13,500,10,20,131072,,,499,2ea6428f015d8a3febfcb77153fc97fb,7,packet-schema probe
te500-keyabcd1e-rep10-433920000.iq,cb150254c3fd2eabfdc361b985f815f6d6c975f769182f67a557817d0241a782,433920000,250000,28.0,1250000,ABCD1E,500,10,20,131072,,,499,0975fb0bb10b1cba977d26bf88dea8c6,7,packet-schema probe
te500-keyabcd1f-rep10-433920000.iq,264693683a85a7e5568a1a528093c0576240c792195ec9fbfd2b958f4e2d1914,433920000,250000,28.0,1250000,ABCD1F,500,10,20,131072,,,499,ac3a6bdb16731a4e6e678973dbf37af0,7,packet-schema probe
