family_id,key,analysis_window_pairs,analysis_threshold,class_digest,frame_bits_count,frame_hex,representative_capture,te_values,packet_structure_spec,freshness_kind,structure_catalog_id,notes
A1B2C3,A1B2C3,20,131072,19f722404f38089b6308894a201adbf2,24,a1b2c3,te400-rep10-433920000.iq,200;400;600;800,packet24_byte_structure_spec,static_packet24,family_A1B2C3_bytes_static,canonical project family
ABCD10,ABCD10,20,131072,06017c95923ccb6afe1fa249c8d798b8,24,abcd10,te480-keyabcd10-rep10-433920000.iq,160;240;480;500;960;1440,packet24_prefix16_check4_counter4_structure_spec,prefix20_lo4_counter,family_ABCD10_check_counter_static,project-native family with a constant check nibble and a low-nibble counter sequence
ABCD11,ABCD11,20,131072,5089ba552d7baea6c12e08ebd2b065d8,24,abcd11,te500-keyabcd11-rep10-433920000.iq,500,packet24_prefix16_check4_counter4_structure_spec,prefix20_lo4_counter,sequence_ABCD10_ABCD13_prefix16_check4_counter4,sequence probe within the ABCD check-and-counter family
ABCD12,ABCD12,20,131072,82b4e0eaf291cf6df2725920305a8547,24,abcd12,te500-keyabcd12-rep10-433920000.iq,500,packet24_prefix16_check4_counter4_structure_spec,prefix20_lo4_counter,sequence_ABCD10_ABCD13_prefix16_check4_counter4,sequence probe within the ABCD check-and-counter family
ABCD13,ABCD13,20,131072,2ea6428f015d8a3febfcb77153fc97fb,24,abcd13,te500-keyabcd13-rep10-433920000.iq,500,packet24_prefix16_check4_counter4_structure_spec,prefix20_lo4_counter,sequence_ABCD10_ABCD13_prefix16_check4_counter4,sequence probe within the ABCD check-and-counter family
ABCD1E,ABCD1E,20,131072,0975fb0bb10b1cba977d26bf88dea8c6,24,abcd1e,te500-keyabcd1e-rep10-433920000.iq,500,packet24_prefix16_boundary4_counter4_structure_spec,static_packet24,sequence_ABCD1E_ABCD21_prefix16_boundary4_counter4,boundary-carry probe within the ABCD family
ABCD1F,ABCD1F,20,131072,ac3a6bdb16731a4e6e678973dbf37af0,24,abcd1f,te500-keyabcd1f-rep10-433920000.iq,500,packet24_prefix16_boundary4_counter4_structure_spec,static_packet24,sequence_ABCD1E_ABCD21_prefix16_boundary4_counter4,boundary-carry probe within the ABCD family
ABCD20,ABCD20,20,131072,2d6648a7e7dffaa0e267c7031864f402,24,abcd20,te500-keyabcd20-rep10-433920000.iq,500,packet24_prefix16_boundary4_counter4_structure_spec,static_packet24,sequence_ABCD1E_ABCD21_prefix16_boundary4_counter4,boundary-carry probe within the ABCD family
ABCD21,ABCD21,20,131072,f20db45ac8376a301d805ea0f4f77329,24,abcd21,te500-keyabcd21-rep10-433920000.iq,500,packet24_prefix16_boundary4_counter4_structure_spec,static_packet24,sequence_ABCD1E_ABCD21_prefix16_boundary4_counter4,boundary-carry probe within the ABCD family
B16B00,B16B00,20,131072,782fbf6929fb12a9430159f2e512ec13,24,b16b00,te620-keyb16b00-rep10-433920000.iq,310;620;930;1550,packet24_byte_structure_spec,static_packet24,family_B16B00_bytes_static,theorem-guided project family
C0FFEE,C0FFEE,20,131072,f0409e8cb4d2bdaba1fdd093301be576,24,c0ffee,te500-keyc0ffee-rep10-433920000.iq,175;250;500;750;1250,packet24_byte_structure_spec,static_packet24,family_C0FFEE_bytes_static,theorem-guided project family
CAFE42,CAFE42,20,131072,9892ff8172cf89f3c143fab27cfafd98,24,cafe42,te1020-keycafe42-rep10-433920000.iq,340;680;1020;1360,packet24_byte_structure_spec,static_packet24,family_CAFE42_bytes_static,theorem-guided project family
D15EA5,D15EA5,20,131072,0ce096fea1adcd848b8e0f359833feca,24,d15ea5,te580-keyd15ea5-rep10-433920000.iq,175;290;580;870;1450,packet24_byte_structure_spec,static_packet24,family_D15EA5_bytes_static,immediate-test project family
DEAD12,DEAD12,20,131072,a57783a97009fc13b6e255e487f6e7aa,24,dead12,te430-keydead12-rep10-433920000.iq,250;430;910;1330,packet24_byte_structure_spec,static_packet24,family_DEAD12_bytes_static,theorem-guided project family
FACE01,FACE01,20,131072,065e905b4444fd83c706b64c68675320,24,face01,te560-keyface01-rep10-433920000.iq,280;560;840;1400,packet24_byte_structure_spec,static_packet24,family_FACE01_bytes_static,theorem-guided project family
